title,abstract,publication_year,doi,type,oa_url,author,topic,subfield,pdf_url,cited_by_count,id
"POPULATION GROWTH OF ANTARCTIC FUR SEALS: LIMITATION BY A TOP PREDATOR, THE LEOPARD SEAL?","Antarctic fur seals (Arctocephalus gazella) in the South Shetland Islands are recovering from 19th-century exploitation more slowly than the main population at South Georgia. To document demographic changes associated with the recovery in the South Shetlands, we monitored fur seal abundance and reproduction in the vicinity of Elephant Island during austral summers from 1986/1987 through 1994/1995. Total births, mean and variance of birth dates, and average daily mortality rates were estimated from daily live pup counts at North Cove (NC) and North Annex (NA) colonies on Seal Island. Sightings of leopard seals (Hydrurga leptonyx) and incidents of leopard seal predation on fur seal pups were recorded opportunistically during daily fur seal research at both sites. High mortality of fur seal pups, attributed to predation by leopard seals frequently observed at NC, caused pup numbers to decline rapidly between January and March (i.e., prior to weaning) each year and probably caused a long-term decline in the size of that colony. The NA colony, where leopard seals were never observed, increased in size during the study. Pup mortality from causes other than leopard seal predation appeared to be similar at the two sites. The number of pups counted at four locations in the Elephant Island vicinity increased slowly, at an annual rate of 3.8%, compared to rates as high as 11% at other locations in the South Shetland Islands. Several lines of circumstantial evidence are consistent with the hypothesis that leopard seal predators limit the growth of the fur seal population in the Elephant Island area and perhaps in the broader population in the South Shetland Islands. The sustained growth of this fur seal population over many decades rules out certain predator–prey models, allowing inference about the interaction between leopard seals and fur seals even though it is less thoroughly studied than predator–prey systems of terrestrial vertebrates of the northern hemisphere. Top-down forces should be included in hypotheses for future research on the factors shaping the recovery of the fur seal population in the South Shetland Islands.",1998,https://doi.org/10.1890/0012-9658(1998)079[2863:pgoafs]2.0.co;2,article,NA,Peter L. Boveng; Lisa M. Hiruki; Michael K. Schwartz; John L. Bengtson,Marine animal studies overview; Avian ecology and behavior; Arctic and Antarctic ice dynamics,Ecology; Ecology; Atmospheric Science,NA,95,13
Growth of a fur seal population,"Abstract The Antarctic fur seal Arctocephalus gazella is a polygynous Otarid in which a single pup is produced annually by cows over the age of 2 years. Following exploitation to the verge of extinction, a small breeding colony was discovered at Bird Island, South Georgia, in the 1930s. Up to 10000 pups a year were produced in the early 1960s and by 1975 the figure had reached an estimated 90000. The rapid population increase has resulted in the colonization of extensive breeding areas on the adjacent mainland of South Georgia with incipient colonies springing up on more distant parts of the island, and also in the South Sandwich, South Orkney and South Shetland Islands. Age determinations from the teeth of 195 breeding cows reveal a low mean age, early first breeding and a predominance of the younger age groups relative to the age structure of a stable population of northern fur seals Callorhinus ursinus. Annual adult cow survival is estimated at 89.8%, while that of first-year animals is about 64.5%. A decline in the rate of population increase is forecast within ten years and an outline for investigating the most likely factors influencing such a change is suggested.",1977,https://doi.org/10.1098/rstb.1977.0072,article,NA,Margaret Payne,Marine animal studies overview; Arctic and Antarctic ice dynamics; Polar Research and Ecology,Ecology; Atmospheric Science; Ecology,NA,215,14
Opinion: Projecting the effects of environmental change on Antarctic seals,"Abstract We consider how Antarctic seals may respond to changes in climate, realizing that anthropogenic alteration of food webs will influence these responses. The species considered include the ice-obligate - crabeater ( Lobodon carcinophaga ), Weddell ( Leptonychotes weddellii ), Ross ( Ommataphoca rossii ) and leopard ( Hydrurga leptonyx ) seal - and the ice-tolerant Antarctic fur seal ( Arctocephalus gazella ) and southern elephant seal ( Mirounga leonina ). The data analysed are from long-term censuses of Weddell seals in McMurdo Sound (1997–2006), and of Weddell, fur and elephant seals at Arthur Harbour, Antarctic Peninsula (1974–2005). After considering their responses to recent changes in environmental features, as well as projected and current changes to their habitat our conclusions are that the distribution and abundance of 1) crabeater and Weddell seals will be negatively affected by changes in the extent, persistence and type of annual sea ice, 2) Ross and leopard seal will be the least negatively influenced by changes in pack ice characteristics, although, as may be the case for crabeater and Weddell, population size and distribution may be altered through changes in food web dynamics, and 3) southern elephant and fur seals will respond in ways opposite to the pack ice species, but could also be influenced most immediately by changes in their food resources due to factors other than climate.",2008,https://doi.org/10.1017/s0954102008001351,article,NA,Donald B. Siniff; Robert A. Garrott; Jay J. Rotella; William R. Fraser; David G. Ainley,Marine animal studies overview; Arctic and Antarctic ice dynamics; Cryospheric studies and observations,Ecology; Atmospheric Science; Atmospheric Science,NA,145,15
Dispersal of male and female Antarctic fur seals (<i>Arctocephalus gazella</i>),"This study examined the foraging locations of adult male and female Antarctic fur seals (Arctocephalus gazella) in the Scotia Sea during the postbreeding period. Satellite transmitters were used to track adult males and females and to obtain information about dive depths. Male fur seals migrated away from the breeding area during the postbreeding period whereas females remained close to the breeding grounds and foraged in the same area during two consecutive years. The most intensive foraging by females was associated with the edge of the continental shelf of South Georgia. Males dived deeper than females. Counts of males at South Georgia and at the South Orkney Islands support the result from satellite tracking data showing that males move from South Georgia to the South Orkney Islands at the end of the breeding season. Unlike males, females were limited in their foraging range by the necessity to return to feed dependent young, so breeding sites are likely to be located close to foraging areas that are optimal for females. Locations used for feeding by females were avoided by males, either because they were suboptimal for males or because foraging by females at South Georgia causes local depletion of food, and males, which have the option to forage further afield, can forage more successfully in regions where there are no females. Comparison with fisheries data also suggests that these fur seals are targeting the most abundant exploitable prey.",1998,https://doi.org/10.1139/f97-314,article,NA,Ian L. Boyd; Dominic J. McCafferty; Keith Reid; R.I. Taylor; Tony R. ‎Walker,Marine animal studies overview; Arctic and Antarctic ice dynamics; Marine and fisheries research,Ecology; Atmospheric Science; Global and Planetary Change,NA,158,16
Overwinter habitat selection by Antarctic krill under varying sea-ice conditions: implications for top predators and fishery management,"Euphausia superba, krill-dependent predators, and fisheries in the Southern Ocean as areas typically covered by sea ice become ice-free in some winters. Research cruises conducted around the South Shetland Islands of the Antarctic Peninsula during winters with contrasting ice conditions provide the first acoustic estimates of krill biomass, habitat use, and association with top predators to examine potential interactions with the krill fishery. Krill abundance was very low in offshore waters during all winters. In Bransfield Strait, median krill abundance was an order of magnitude higher (8 krill m -2 ) compared to summer (0.25 krill m -2 ), and this pattern was observed in all winters regardless of ice cover. Acoustic estimates of krill biomass were also an order of magnitude higher (~5 500 000 metric tons [t] in 2014) than a 15 yr summer average (520 000 t). Looking at krilldependent predators, during winter, crabeater seals Lobodon carcinophagus were concentrated in Bransfield Strait where ice provided habitat, while Antarctic fur seals Arctocephalus gazella were more broadly distributed. Krill overwinter in coastal basin environments independent of ice and primary production and in an area that is becoming more frequently icefree. While long-term projections of climate change have focused on changing krill habitat and productivity declines, more immediate impacts of ongoing climate change include increased risks of negative fishery-krill-predator interactions, alteration of upper trophic level community structure, and changes in the pelagic ecology of this system. Development of management strategies to mitigate the increased risk to krill populations and their dependent predators over management timescales will be necessary to minimize the impacts of long-term climate change.",2017,https://doi.org/10.3354/meps12099,article,https://www.int-res.com/articles/feature/m568p001.pdf,CS Reiss; Alexandra Cossio; JA Santora; KS Dietrich; Alison E. Murray; B. Greg Mitchell; Jennifer Walsh; Elliot L. Weiss; Carla Gimpel; CD Jones; GM Watters,Marine and fisheries research; Marine animal studies overview; Arctic and Antarctic ice dynamics,Global and Planetary Change; Ecology; Atmospheric Science,https://www.int-res.com/articles/feature/m568p001.pdf,88,17
Destruction of antarctic terrestrial ecosystems by a rapidly increasing fur seal population,NA,1988,https://doi.org/10.1016/0006-3207(88)90052-3,article,NA,Ronald I. Lewis Smith,Polar Research and Ecology; Marine animal studies overview; Isotope Analysis in Ecology,Ecology; Ecology; Ecology,NA,84,18
"Penguins, fur seals, and fishing: prey requirements and potential competition in the South Shetland Islands, Antarctica",NA,1998,https://doi.org/10.1007/s003000050261,article,NA,Donald A. Croll; Bernie R. Tershy,Marine and fisheries research; Marine animal studies overview; Avian ecology and behavior,Global and Planetary Change; Ecology; Ecology,NA,86,19
Identifying Risk: Concurrent Overlap of the Antarctic Krill Fishery with Krill-Dependent Predators in the Scotia Sea,"Mitigating direct and indirect interactions between marine predators and fisheries is a motivating factor for ecosystem-based fisheries management (EBFM), especially where predators and fisheries compete for a shared resource. One difficulty in advancing EBFM is parameterizing clear functional responses of predators to indices of prey availability. Alternative characterizations of fishery-predator interactions may therefore benefit the implementation of EBFM. Telemetry data identify foraging areas used by predators and, therefore, represent critical information to mitigate potential competition between predators and fisheries. We analyzed six years (2009-2014) of telemetry data collected at Cape Shirreff, Livingston Island and Admiralty Bay, King George Island, Antarctica, on three species of Pygoscelid penguins and female Antarctic fur seals. In this region, all four species are primarily dependent on Antarctic krill. The tracking data demonstrate local movements near breeding colonies during the austral summer and dispersal from breeding colonies during the winter. We then assessed overlap between predators and the Antarctic krill fishery on a suite of spatiotemporal scales to examine how different data aggregations affect the extent and location of overlap. Concurrent overlap was observed on all spatiotemporal scales considered throughout the Antarctic Peninsula and South Orkney Islands region, including near tagging locations and in distant areas where recent fishing activity has concentrated. Overlap occurred at depths where mean krill densities were relatively high. Our results demonstrate that direct overlap of krill-dependent predators with the krill fishery on small spatiotemporal scales is relatively common throughout the Antarctic Peninsula region. As the krill fishery continues to develop and efforts to implement ecosystem-based management mature, indices of overlap may provide a useful metric for indicating where the risks of fishing are highest. A precautionary approach to allocating krill catches in space would be to avoid large increases in catch where overlap on small spatiotemporal scales is common.",2017,https://doi.org/10.1371/journal.pone.0170132,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170132&type=printable,Jefferson T. Hinke; Anthony M. Cossio; Michael E. Goebel; Christian S. Reiss; Wayne Z. Trivelpiece; George M. Watters,Marine and fisheries research; Marine animal studies overview; Fish Ecology and Management Studies,Global and Planetary Change; Ecology; Nature and Landscape Conservation,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170132&type=printable,104,20
"Reproductive Performance of Seabirds and Seals at South Georgia and Signy Island, South Orkney Islands, 1976–1987: Implications for Southern Ocean Monitoring Studies",NA,1988,https://doi.org/10.1007/978-3-642-73724-4_23,book-chapter,NA,John P. Croxall; T. McCann; P. A. Prince; P. Rothery,Marine animal studies overview; Avian ecology and behavior; Arctic and Antarctic ice dynamics,Ecology; Ecology; Atmospheric Science,NA,321,21
Ecological repercussions of historical fish extraction from the Southern Ocean,"Abstract A major mid‐1980s shift in ecological structure of significant portions of the Southern Ocean was partially due to the serial depletion of fish by intensive industrial fishing, rather than solely to climate factors as previously hypothesized. Over a brief period (1969–1973), several finfish stocks were on average reduced to &lt;50%, and finally (mid‐1980s) to &lt;20%, of original size. Despite management actions, few stocks have recovered and some are still declining. Most affected species exhibit K‐selected life‐history patterns, and before exploitation presumably fluctuated in accordance with infrequent strong year classes, as is true of such fish elsewhere. A climate regime, the Southern Annular Mode, once oscillated between two states, but has remained in its ‘positive mode’ since the time of the fish extraction. This may have increased finfish vulnerability to exploitation. As breeding stocks decreased, we hypothesize that availability of annually produced juvenile fish fed upon by upper‐level predators remained low. Correlations between predator populations and fish biomass in predator foraging areas indicate that southern elephant seal Mirounga leonina , Antarctic fur seal Arctocephalus gazella , gentoo penguin Pygoscelis papua , macaroni penguin Eudyptes chrysolphus and ‘imperial’ shag Phalacrocorax spp. – all feeding extensively on these fish, and monitored at Marion, Crozet, Kerguelen, Heard, South Georgia, South Orkney and South Shetland Islands, where fishing was concentrated – declined simultaneously during the two periods of heavy fishing. These patterns indicate the past importance of demersal fish as prey in Antarctic marine systems, but determining these interactions’ ecological mechanisms may now be impossible.",2008,https://doi.org/10.1111/j.1467-2979.2008.00293.x,article,NA,David G. Ainley; Louise K. Blight,Marine and fisheries research; Marine animal studies overview; Isotope Analysis in Ecology,Global and Planetary Change; Ecology; Ecology,NA,126,22
"The diet of the Antarctic fur seal Arctocephalus gazella at Harmony Point, South Shetland Islands: evidence of opportunistic foraging on penguins?",NA,2004,https://doi.org/10.1007/s00300-003-0559-z,article,http://hdl.handle.net/11336/28466,Ricardo Casaux; L. Bellizia; Andrea Baroni,Marine animal studies overview; Marine and coastal plant biology; Avian ecology and behavior,Ecology; Oceanography; Ecology,NA,36,23
The present status of the Antarctic Fur Seal <i>Arctocephalus gazella</i> at South Shetland Islands,"The purpose of this paper is to report on the present status of the small but growing population of the Antarctic Fur Seal Arctocephalus gazella in the South Shetland Islands (Fig 1). The previous history of the sealing of this species is well documented by O'Gorman (1961, 1963), Bonner and Laws (1964) and Bonner (1964,1968). The current status of this and other species of fur seals, and the species of sea lions and true seals in the Southern Hemisphere, has been summarized by Laws (1973a). Bonner (1968) has made natural history and population studies on Antarctic Fur Seals in South Georgia, and present research here is being carried out by Dr M. R. Payne and two other colleagues of the British Antarctic Survey (Laws, 1973b).",1978,https://doi.org/10.1017/s003224740000190x,article,NA,Anelio Aguayo L.,Marine animal studies overview; Polar Research and Ecology; Cephalopods and Marine Biology,"Ecology; Ecology; Ecology, Evolution, Behavior and Systematics",NA,27,24
Life history buffering in Antarctic mammals and birds against changing patterns of climate and environmental variation,"Abstract The consequences of warming for Antarctic long‐lived organisms depend on their ability to survive changing patterns of climate and environmental variation. Among birds and mammals of different Antarctic regions, including emperor penguins, snow petrels, southern fulmars, Antarctic fur seals and Weddell seals, we found strong support for selection of life history traits that reduce interannual variation in fitness. These species maximize fitness by keeping a low interannual variance in the survival of adults and in their propensity to breed annually, which are the vital rates that influence most the variability in population growth rate ( λ ). All these species have been able to buffer these rates against the effects of recent climate‐driven habitat changes except for Antarctic fur seals, in the Southwest Atlantic. In this region of the Southern Ocean, the rapid increase in ecosystem fluctuation, associated with increasing climate variability observed since 1990, has limited and rendered less predictable the main fur seal food supply, Antarctic krill. This has increased the fitness costs of breeding for females, causing significant short‐term changes in population structure through mortality and low breeding output. Changes occur now with a frequency higher than the mean female fur seal generation time, and therefore are likely to limit their adaptive response. Fur seals are more likely to rely on phenotypic plasticity to cope with short‐term changes in order to maximize individual fitness. With more frequent extreme climatic events driving more frequent ecosystem fluctuation, the repercussions for life histories in many Antarctic birds and mammals are likely to increase, particularly at regional scales. In species with less flexible life histories that are more constrained by fluctuation in their critical habitats, like sea‐ice, this may cause demographic changes, population compensation and changes in distribution, as already observed in penguin species living in the Antarctic Peninsula and adjacent islands.",2008,https://doi.org/10.1111/j.1365-2486.2008.01678.x,article,NA,Jaume Forcada; Philip N. Trathan; Eugene J. Murphy,Avian ecology and behavior; Marine animal studies overview; Climate variability and models,Ecology; Ecology; Global and Planetary Change,NA,166,25
"Spring and summer predation on fish by the Antarctic fur seal, <i>Arctocephalus gazella</i>, at King George Island, South Shetland Islands","The fish component of the diet of nonbreeding male Antarctic fur seals, Arctocephalus gazella, was analyzed from 70 scats collected at Stranger Point, King George Island, South Shetland Islands, during the austral spring (n = 36) and summer (n = 34) of 1993-1994. Fish occurred in approximately 70% of scats that contained food remains irrespective of season. In spring, the main fish prey were Electrona antarctica, Pleuragramma antarcticum, and Notolepis coatsi, which together gave two-thirds of the 110 otoliths recovered. In summer, 457 otoliths were retrieved; the most frequent and abundant species were Gymnoscopelus nicholsi, E. antarctica, and P. antarcticum, which represented over 80% of the otoliths recovered. A substantial increase in the amount of fish ingested by fur seals occurred from spring to summer concomitant with a change in the relative proportion of fish taxa. Most fish species identified are pelagic and feed on krill. During the study period, commercial fishing in the area was not based upon any of the fish species identified.",1999,https://doi.org/10.1139/z99-064,article,NA,G. A. Daneri; Alejandro R Carlini,Marine animal studies overview; Marine and fisheries research; Polar Research and Ecology,Ecology; Global and Planetary Change; Ecology,NA,31,26
Spatial and temporal variability in the fish diet of Antarctic fur seal (<i>Arctocephalus gazella</i>) in the Atlantic sector of the Southern Ocean,"The spatial and temporal variability in the fish component of the diet of Antarctic fur seals (Arctocephalus gazella (Peters, 1875)) in the Atlantic sector of the Southern Ocean was examined using diet data from 10 sites in the region including a 13-year time series from South Georgia. The fish species composition in the diet at each site showed a strong relationship with the local marine habitat / topography. The absence of formerly harvested fish species indicates a lack of recovery of stocks of Notothenia rossii Richardson, 1844 at South Georgia and Champsocephalus gunnari Lönnberg, 1905 at the South Orkney Islands. At South Georgia, Protomyctophum choriodon Hulley, 1981, Lepidonotothen larseni (Lönnberg, 1905), and C. gunnari were the most important species in the diet between 1991 and 2004. Variability in the occurrence of C. gunnari was driven mainly by annual scale processes, particularly those that influence the availability of Antarctic krill (Euphausia superba (Dana, 1852)). The occurrence of the pelagic P. choriodon was primarily influenced by shorter-term water mass changes within the foraging range of the seals. The fish composition in the diet reflects differences in marine habitat / topography, as well as variability, at a range of time scales that reflect environmental variability and harvesting.",2006,https://doi.org/10.1139/z06-071,article,NA,Dexter Davis; Iain J. Staniland; Keith Reid,Marine animal studies overview; Marine and fisheries research; Arctic and Antarctic ice dynamics,Ecology; Global and Planetary Change; Atmospheric Science,NA,60,27
