id,title,display_name,authorships,abstract,doi,publication_date,publication_year,relevance_score,fwci,cited_by_count,counts_by_year,cited_by_api_url,ids,type,is_oa,is_oa_anywhere,oa_status,oa_url,any_repository_has_fulltext,source_display_name,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version,referenced_works,referenced_works_count,related_works,concepts,topics,keywords,is_paratext,is_retracted,language,grants,apc,first_page,last_page,volume,issue
https://openalex.org/W2113984062,"Variations in the biomass of Antarctic krill (Euphausia superba) around the South Shetland Islands, 1996–2006","Variations in the biomass of Antarctic krill (Euphausia superba) around the South Shetland Islands, 1996–2006",,"Abstract Reiss, C. S., Cossio, A. M., Loeb, V., and Demer, D. A. 2008. Variations in the biomass of Antarctic krill (Euphausia superba) around the South Shetland Islands, 1996–2006. – ICES Journal of Marine Science, 65: 497–508. The time-series of acoustically surveyed Antarctic krill (Euphausia superba) biomass near the South Shetland Islands (SSI) between 1996 and 2006 is re-estimated using a validated physics-based model of target strength (TS), and a species-discrimination algorithm based on the length-range of krill in plankton samples to identify krill acoustically, derived from TS-model predictions. The SSI area is surveyed each austral summer by the US Antarctic Marine Living Resources Program, and the acoustic data are used to examine trends in krill biomass and to assess the potential impact of fishing to the reproductive success of land-based predators (seals and penguins). The time-series of recomputed biomass densities varies greatly from that computed using an empirical log-linear TS-model and fixed-ranges of differences in volume–backscattering strengths (ΔSv), conventionally used to identify krill acoustically. The new acoustic estimates of biomass are significantly correlated with both proportional recruitment and krill abundance estimated from zooplankton samples. Two distinct peaks in biomass (1996 and 2003) are in accord with recruitment events shown by net-based krill time-series. The foundation for the new TS-model and the associated krill-discrimination algorithm, coupled with the agreement between acoustic- and net-survey results, provides strong support for the use of the new analytical technique. Variable biases in the re-estimated krill biomass have been greatly reduced. However, survey variability increased as a result of the increased rejection of acoustic backscatter previously attributed to krill. Management of Southern Ocean krill stocks based on a precautionary approach may therefore result in decreased allocations of krill, given its dependence on the variability of survey estimates.",https://doi.org/10.1093/icesjms/fsn033,2008-03-18,2008,1216.8169,5.252,164,,https://api.openalex.org/works?filter=cites:W2113984062,,article,FALSE,FALSE,closed,NA,FALSE,ICES Journal of Marine Science,https://openalex.org/S200038611,1054-3139,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1093/icesjms/fsn033,NA,NA,NA,,35,,,,,FALSE,FALSE,en,,,497,508,65,4
https://openalex.org/W1969668099,"Seasonal variability in the distribution of Antarctic krill, Euphausia superba, west of the Antarctic Peninsula","Seasonal variability in the distribution of Antarctic krill, Euphausia superba, west of the Antarctic Peninsula",,NA,https://doi.org/10.1016/s0967-0637(98)00099-5,1999-06-01,1999,1080.5818,3.458,193,,https://api.openalex.org/works?filter=cites:W1969668099,,article,FALSE,FALSE,closed,NA,FALSE,Deep Sea Research Part I Oceanographic Research Papers,https://openalex.org/S113880702,0967-0637,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/s0967-0637(98)00099-5,NA,NA,NA,,48,,,,,FALSE,FALSE,en,,,951,984,46,6
https://openalex.org/W2043994945,An 8-year cycle in krill biomass density inferred from acoustic surveys conducted in the vicinity of the South Shetland Islands during the austral summers of 1991–1992 through 2001–2002,An 8-year cycle in krill biomass density inferred from acoustic surveys conducted in the vicinity of the South Shetland Islands during the austral summers of 1991–1992 through 2001–2002,,"Data from single and multi-frequency active acoustic surveys conducted annually in the vicinity of the South Shetland Islands, Antarctica were re-analyzed using updated procedures for delineating volume backscattering due to Antarctic krill, adjusting for signal contamination due to noise, and compensating for diel vertical migration of krill outside of the acoustic observation window. Intra-and inter-seasonal variations in krill biomass density and dispersion were derived from the re-processed data set for surveys conducted in the austral summers of 1991/1992 through 2001/2002. Estimated biomass density ranged from 1 to 60 g m–2, decreasing from mid-range levels in 1991/1992 to a minimum in 1992/1993–1993/1994, increasing to a peak in 1996/1997–1997/1998, and decreasing again through 2000/2001–2001/2002. Although this variability may be attributed to changes in the spatial distribution of krill relative to the survey area, comparisons with the proportion of juvenile krill in simultaneous net samples suggest that the changes in biomass density are consistent with apparent changes in reproductive success. A truncated Fourier series fit to the biomass density time series is dominated by an 8-year cycle and predicts an increase in krill biomass density in 2002/2003 and 2003/2004. This prediction is supported by an apparent association between cycles in the extent of sea ice cover and per-capita krill recruitment over the last 23 years and indications that ice cover in the winter of 2002 is seasonally early and extensive.",https://doi.org/10.1016/s0990-7440(03)00019-6,2003-07-01,2003,900.19495,3.558,105,,https://api.openalex.org/works?filter=cites:W2043994945,,article,FALSE,FALSE,closed,NA,FALSE,Aquatic Living Resources,https://openalex.org/S23218126,0990-7440,https://openalex.org/P4310319748,EDP Sciences,https://doi.org/10.1016/s0990-7440(03)00019-6,NA,NA,NA,,29,,,,,FALSE,FALSE,en,,,205,213,16,3
https://openalex.org/W243505603,A Concept of Seasonal Variation of Krill (Euphausia superba) Distribution and Abundance West of the Antarctic Peninsula,A Concept of Seasonal Variation of Krill (Euphausia superba) Distribution and Abundance West of the Antarctic Peninsula,,NA,https://doi.org/10.1007/978-3-642-73724-4_19,1988-01-01,1988,705.0789,6.984,173,,https://api.openalex.org/works?filter=cites:W243505603,,book-chapter,FALSE,FALSE,closed,NA,FALSE,Springer eBooks,https://openalex.org/S4306463937,NA,https://openalex.org/P4310319965,Springer Nature,https://doi.org/10.1007/978-3-642-73724-4_19,NA,NA,NA,,32,,,,,FALSE,FALSE,en,,,219,230,NA,NA
https://openalex.org/W2185921706,LONG-TERM MONITORING OF KRILL RECRUITMENT AND ABUNDANCE INDICES IN THE ELEPHANT ISLAND AREA (ANTARCTIC PENINSULA),LONG-TERM MONITORING OF KRILL RECRUITMENT AND ABUNDANCE INDICES IN THE ELEPHANT ISLAND AREA (ANTARCTIC PENINSULA),,"Krill distribution and density are reviewed for the Elephant Island area with regard to the representativeness of the study area (60°-62030'S and 53-57'30'W) for proportional recruit and density indices. Proportional recruitment indices were re-calculated applying the delta distribution approach introduced by de la Mare (1994a). The high interannual variability of krill recruitment is confirmed by the present analysis. Results are compared for one- and two-year-old ]<rill (R, and R2 respectively). Statistically significant fluctuations in krill density over the period 1977 to 1994 are also confirmed by this study using randomisation tests on an analysis of variance. Resume",NA,1997-01-01,1997,666.81146,2.87,42,,https://api.openalex.org/works?filter=cites:W2185921706,,article,FALSE,FALSE,closed,NA,FALSE,NA,NA,NA,NA,NA,http://archive.ccamlr.org/ccamlr_science/Vol-04-1997/02siegel-etal.PDF,NA,NA,NA,,13,,,,,FALSE,FALSE,en,,,NA,NA,NA,NA
https://openalex.org/W2067778770,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area","Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",,NA,https://doi.org/10.1016/s1096-4959(02)00021-0,2002-04-01,2002,635.7732,6.581,131,,https://api.openalex.org/works?filter=cites:W2067778770,,article,FALSE,FALSE,closed,NA,FALSE,Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology,https://openalex.org/S102889028,1096-4959,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/s1096-4959(02)00021-0,NA,NA,NA,,68,,,,,FALSE,FALSE,en,,,733,747,131,4
https://openalex.org/W2121367065,Dispersion and abundance of Antarctic krill in the vicinity of Elephant Island in the 1992 austral summer,Dispersion and abundance of Antarctic krill in the vicinity of Elephant Island in the 1992 austral summer,,"Antarctic knll Euphausia superba distribution and abundance were estimated from 4 acoustic surveys conducted in the vicinity of Elephant Island.Antarctica, from mid-January to mid-March 1992.The first and last surveys covered a 105 by 105 n mile study area centered on Elephant Island; the second and third surveys covered a 60 by 35 n mile area immediately north of Elephant Island.During the first survey, krill were distributed in a wide band extending along the north side of Elephant Island and wrapping around the western end; biomass was estimated to be 2.2 million metric tons (t).During the second survey, the highest densities of krill were over the shelf extending to the northwest from Elephant Island and including the Seal Island archipelago; high densities of krill also extended off the shelf from the northeast end of Elephant Island Into deeper water.Biomass in the smaller survey area was estimated to be 0.7 million t.Three weeks later, high krill densities were still apparent in the vicinity of Seal Island, but the area of high density previously mapped off the northeast end of Elephant Island had diminished considerably; biomass was estimated to be 0.4 million t.During the final survey, conducted 6 wk after the first survey, krill were mapped in reduced densities primarily to the west of Elephant Island; biomass over the larger survey area had declined to 1.1 million t.",https://doi.org/10.3354/meps099029,1993-01-01,1993,630.7381,4.441,87,,https://api.openalex.org/works?filter=cites:W2121367065,,article,TRUE,TRUE,bronze,https://doi.org/10.3354/meps099029,FALSE,Marine Ecology Progress Series,https://openalex.org/S96743589,0171-8630,https://openalex.org/P4310313773,Inter-Research,https://doi.org/10.3354/meps099029,NA,NA,publishedVersion,,33,,,,,FALSE,FALSE,en,,,29,39,99,NA
https://openalex.org/W418244251,Acoustic Characterization of Swarms of Antarctic Krill (Euphausia Superba) From Elephant Island and Bransfield Strait,Acoustic Characterization of Swarms of Antarctic Krill (Euphausia Superba) From Elephant Island and Bransfield Strait,,Time series of acoustic observations with three frequencies were made on Antarctic krill (Euphausia superba) near Elephant Island and in Bransfield Strait. Local changes of biomass were ten-fold over 2-3 days. The total biomass in a very large swarm near Elephant Island was 2.1 million metric tons distributed over 450 km2. The abundance in the swarm was 200–-500 g/m3 over a vertical extent from 10-240 m. Smaller patches were 40-150 g/m3 and often associated with the 100-150 m bottom contour. Assessing the distribution and abundance of very large swarms presents problems beyond those of routine acoustic surveys.,https://doi.org/10.1163/1937240x84x00480,1984-10-01,1984,595.061,4.747,90,,https://api.openalex.org/works?filter=cites:W418244251,,article,FALSE,FALSE,closed,NA,FALSE,Journal of Crustacean Biology,https://openalex.org/S141356220,0278-0372,https://openalex.org/P4310311648,Oxford University Press,https://doi.org/10.1163/1937240x84x00480,NA,NA,NA,,0,,,,,FALSE,FALSE,en,,,16,44,4,5
https://openalex.org/W2886542207,Spatial and temporal dynamics of the Antarctic krill fishery in fishing hotspots in the Bransfield Strait and South Shetland Islands,Spatial and temporal dynamics of the Antarctic krill fishery in fishing hotspots in the Bransfield Strait and South Shetland Islands,,NA,https://doi.org/10.1016/j.fishres.2018.07.020,2018-08-03,2018,592.09576,1.968,58,,https://api.openalex.org/works?filter=cites:W2886542207,,article,FALSE,FALSE,closed,NA,FALSE,Fisheries Research,https://openalex.org/S20111203,0165-7836,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.fishres.2018.07.020,NA,NA,NA,,51,,,,,FALSE,FALSE,en,,,157,166,208,NA
https://openalex.org/W2020269460,Distribution and abundance of Antarctic krill (Euphausia superba) along the Antarctic Peninsula,Distribution and abundance of Antarctic krill (Euphausia superba) along the Antarctic Peninsula,,NA,https://doi.org/10.1016/j.dsr.2013.02.005,2013-03-08,2013,588.26135,1.601,65,,https://api.openalex.org/works?filter=cites:W2020269460,,article,FALSE,FALSE,closed,NA,FALSE,Deep Sea Research Part I Oceanographic Research Papers,https://openalex.org/S113880702,0967-0637,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.dsr.2013.02.005,NA,NA,NA,,59,,,,,FALSE,FALSE,en,,,63,74,77,NA
