title,abstract,publication_year,doi,type,oa_url,author,concept,topic,subfield,pdf_url,cited_by_count,id
Distribution of Antarctic krill and dominant zooplankton west of the Antarctic Peninsula,NA,1996,https://doi.org/10.1029/ar070p0199,book-chapter,NA,Robin M. Ross; Langdon B. Quetin; Cathy M. Lascara,Antarctic krill; Zooplankton; Peninsula; Oceanography; Krill; Euphausia; Distribution (mathematics),Marine and coastal ecosystems; Isotope Analysis in Ecology; Fish Ecology and Management Studies,Oceanography; Ecology; Nature and Landscape Conservation,NA,87,11
"Krill ( Euphausia superba ) density, proportional and absolute recruitment and biomass in the Elephant Island region (Antarctic Peninsula) during the period 1977 to 1997",NA,1998,https://doi.org/10.1007/s003000050264,article,NA,Volker Siegel; Valerie J. Loeb; Joachim Paul Gröger,Krill; Euphausia; Antarctic krill; Biology; Biomass (ecology); Peninsula; Crustacean,Marine and fisheries research; Marine Bivalve and Aquaculture Studies; Fish Ecology and Management Studies,Global and Planetary Change; Global and Planetary Change; Nature and Landscape Conservation,NA,87,12
Relationship between Recruitment of the Antarctic Krill and the Degree of Ice Cover near the South Shetland Islands,NA,1994,https://doi.org/10.2331/fishsci.60.123,article,https://www.jstage.jst.go.jp/article/fishsci1994/60/1/60_1_123/_pdf,So Kawaguchi; Mikio Satake,Shetland; Antarctic krill; Krill; Oceanography; Degree (music),Cryospheric studies and observations; Arctic and Antarctic ice dynamics; Winter Sports Injuries and Performance,Atmospheric Science; Atmospheric Science; Pulmonary and Respiratory Medicine,https://www.jstage.jst.go.jp/article/fishsci1994/60/1/60_1_123/_pdf,50,13
Concordance of interannual fluctuations in acoustically estimated densities of Antarctic krill around South Georgia and Elephant Island: biological evidence of same-year teleconnections across the Scotia Sea,NA,1999,https://doi.org/10.1007/s002270050583,article,NA,Andrew S. Brierley; David A. Demer; J. L. Watkins; R HEWITT,Krill; Euphausia; Antarctic krill; Pelagic zone; Oceanography; Biology; Biological dispersal,Marine animal studies overview; Marine and fisheries research; Arctic and Antarctic ice dynamics,Ecology; Global and Planetary Change; Atmospheric Science,NA,80,14
Acoustic targets at South Georgia and the South Orkney Islands during a season of krill scarcity,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 138:51-61 (1996) - doi:10.3354/meps138051 Acoustic targets at South Georgia and the South Orkney Islands during a season of krill scarcity Brierley AS, Watkins JL Dual frequency (38 and 120 kHz) acoustic surveys of shelf-break regions in the vicinity of the Willis Islands, South Georgia, and Coronation Island, South Orkneys, both in the Atlantic sector of the Southern Ocean, were carried out from RRS 'James Clark Ross' during January 1994. The difference in echo signal strength between the 2 frequencies [deltaMVBS (mean volume backscattering strength) = MVBS 120 kHz - MVBS 38 kHz] was used to partition acoustic targets into 3 biological categories: Antarctic krill Euphausia superba, nekton (larger than krill) and zooplankton (smaller than krill). Krill density estimates were derived for both survey areas, and the relative contribution of each class of target to overall regional pelagic biomass determined. Krill distribution in both regions was extremely patchy, resulting in a highly skewed frequency distribution of density; for example one echo-integration interval contained 104 times the mean krill density. An approximate 6-fold difference in mean krill abundance was detected between the 2 areas but, in comparison with previously published density estimates, krill densities in both regions were extremely low (1.7 and 10.7 gm-2 for Willis and Coronation Islands respectively). Gross regional differences in pelagic faunal composition were apparent from inspection of echo charts, and were quantified by detailed analysis of acoustic signals. The water column in the vicinity of the Willis Islands was characterised by a series of diffuse but continuous scattering layers visible only at 120 kHz, and 73% by mass of acoustic targets in this region were classified as zooplankton. In marked contrast, the Coronation Island region was dominated by dense, discrete acoustic target patches which were classified as larger, nektonic, sound scatterers (fish or squid), and only 12% of targets there were classified as zooplankton. Elsewhere, data from predator diet analyses carried out at Bird Island, South Georgia, during the same season that our acoustic measurements were made, confirm the profoundly low levels of krill availability there and support the acoustic observation that the Willis Islands region contained large numbers of small zooplankton such as the amphipod Themisto gaudichaudii. Similarly, available data on analyses of stomach contents of Chinstrap penguins nesting in a neighbouring region within an oceanographic setting similar to that of Coronation Island reveal the presence of more fish in the diet than usual. Conclusions drawn from acoustic observations as to the relative regional composition of pelagic biomass are therefore clearly supported by independent evidence gathered from predators, and the value of integrating predator/prey and acoustic studies to characterise the content of localised marine ecosystems is demonstrated. Antarctic krill . Euphausia superba . Dual frequency acoustic survey . Predators . Penguin diet . Themisto gaudichaudii . Target discrimination . Southern Ocean Full text in pdf format PreviousNextExport citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 138. Publication date: July 25, 1996 Print ISSN:0171-8630; Online ISSN:1616-1599 Copyright © 1996 Inter-Research.",1996,https://doi.org/10.3354/meps138051,article,https://www.int-res.com/articles/meps/138/m138p051.pdf,Andrew S. Brierley; JL Watkins,Krill; Euphausia; Oceanography; Antarctic krill; Pelagic zone; Euphausiacea; Fishery,Underwater Acoustics Research; Marine and fisheries research; Maritime and Coastal Archaeology,Oceanography; Global and Planetary Change; Archeology,https://www.int-res.com/articles/meps/138/m138p051.pdf,51,15
Glider-Based Estimates of Meso-Zooplankton Biomass Density: A Fisheries Case Study on Antarctic Krill (Euphausia superba) Around the Northern Antarctic Peninsula,"We compare estimates of krill density derived from gliders to those from contemporaneous and previous ship-based surveys. Our comparisons cover several temporal and spatial scales within two strata around the northern Antarctic Peninsula (off Cape Shirreff on the north side of Livingston Island and in the Bransfield Strait). Our objective is to explore the feasibility of using gliders to supplement or replace vessel-based surveys of fishery resources. We deployed two long-duration Slocum G3 gliders manufactured by Teledyne Webb Research (TWR), each equipped with a suite of oceanographic sensors and a three-frequency (38, 67.5, and 125 kHz, each single-beam) Acoustic Zooplankton Fish Profiler. We used the acoustic data collected by these gliders to estimate biomass densities (g⋅m –2 ) of Antarctic krill ( Euphausia superba ). The two gliders were, respectively, deployed for 82 and 88 days from mid-December 2018 through mid-March 2019. Off Cape Shirreff, glider-based densities estimated from two repeat small-scale surveys during mid-December and January were 110.6 and 55.7 g⋅m –2 , respectively. In Bransfield Strait, the glider-based estimate of biomass density was 106.7 g⋅m –2 during December–January. Contemporaneous ship-based estimates of biomass density, from a multi-ship broad-scale krill survey ( Macaulay et al., 2019 ) restricted to the areas sampled by the gliders, were 84.6 g⋅m –2 off Cape Shirreff and 79.7 g⋅m –2 in Bransfield Strait during January. We compared two alternative krill-delineation algorithms (dB differencing and SHAPES); differences between biomass densities estimated by applying these algorithms were small and ranged between 4 and 7%. Alternative methods of sampling krill length-frequency distributions (LFDs) (nets or predator diets), which are required to convert acoustic energy to biomass density, also influenced the glider-based results. In Bransfield Strait, net-based estimates of biomass density were 6% less than those based on predator diets. Off Cape Shirreff the biomass density of krill estimated from a net-based LFD was 20% greater than that based on predator diets. Development of a variance estimator for glider-based biomass surveys is ongoing, but our results demonstrate that fisheries surveys using acoustically-equipped gliders are feasible, can provide density estimates to inform management, and may be conducted at lower cost than ship surveys in some cases.",2021,https://doi.org/10.3389/fmars.2021.604043,article,https://www.frontiersin.org/articles/10.3389/fmars.2021.604043/pdf,Christian S. Reiss; Anthony M. Cossio; Jennifer Walsh; George R. Cutter; George M. Watters,Euphausia; Krill; Antarctic krill; Glider; Oceanography; Zooplankton; Biomass (ecology); Peninsula; Fishery; Environmental science,Marine and fisheries research; Underwater Vehicles and Communication Systems; Fish Ecology and Management Studies,Global and Planetary Change; Ocean Engineering; Nature and Landscape Conservation,https://www.frontiersin.org/articles/10.3389/fmars.2021.604043/pdf,34,16
"Distribution of salps near the South Shetland Islands during austral summer, 1990?1991 with special reference to krill distribution",NA,1995,https://doi.org/10.1007/bf00236121,article,NA,Jun Nishikawa; Mikio Naganobu; Taro Ichii; Haruto Ishii; Makoto Terazaki; Kouichi Kawaguchi,Euphausia; Shetland; Biology; Krill; Oceanography; Biomass (ecology); Antarctic krill,Marine and fisheries research; Fish Ecology and Management Studies; Marine and coastal ecosystems,Global and Planetary Change; Nature and Landscape Conservation; Oceanography,NA,69,17
Winter distribution and size structure of Antarctic krill Euphausia superba populations in-shore along the West Antarctic Peninsula,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 552:115-129 (2016) - DOI: https://doi.org/10.3354/meps11772 Winter distribution and size structure of Antarctic krill Euphausia superba populations in-shore along the West Antarctic Peninsula Alison C. Cleary1,2,3,*, Edward G. Durbin1, Maria C. Casas1, Meng Zhou4 1Graduate School of Oceanography, University of Rhode Island, Narragansett, Rhode Island 02882, USA 2Department of Arctic Biology, University Centre in Svalbard, Longyearbyen, 9171, Norway 3Marine Biological Association of the United Kingdom, Plymouth, PL1 2PB, UK 4Department of Environment, Earth and Ocean Sciences, University of Massachusetts Boston, Boston, Massachusetts 02125, USA *Corresponding author: alison_cleary@my.uri.edu ABSTRACT: Antarctic krill Euphausia superba are a key component of food webs in the maritime West Antarctic Peninsula, and their life history is tied to the seasonal cycles of sea ice and primary production in the region. Previous work has shown a general in-shore migration of krill in winter in this region; however, the very near-shore has not often been sampled as part of these surveys. We investigated distribution, abundance, and size structure of krill in 3 fjordic bays along the peninsula, and in the adjacent Gerlache Strait area using vertically stratified MOCNESS net tows and ADCP acoustic biomass estimates. Krill abundance was high within bays, with net estimated densities exceeding 60 krill m-3, while acoustic estimates were an order of magnitude higher. Krill within bays were larger than krill in the Gerlache Strait. Within bays, krill aggregations were observed near the seafloor during the day with aggregations extending to the sediment interface, and exhibited diel vertical migration higher into the water column at night. We suggest these high winter krill abundances within fjords are indicative of an active seasonal migration by krill in the peninsula region. Potential drivers for such a migration include reduced advective losses and costs, and availability of sediment food resources within fjords. Seasonally near-shore krill may also affect stock and recruitment assessments and may have implications for managing the krill fishery in this area. KEY WORDS: Euphausiid · Abundance · Diel vertical migration · DVM · WAP · Fjord Full text in pdf format PreviousNextCite this article as: Cleary AC, Durbin EG, Casas MC, Zhou M (2016) Winter distribution and size structure of Antarctic krill Euphausia superba populations in-shore along the West Antarctic Peninsula. Mar Ecol Prog Ser 552:115-129. https://doi.org/10.3354/meps11772 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 552. Online publication date: June 23, 2016 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2016 Inter-Research.",2016,https://doi.org/10.3354/meps11772,article,https://www.int-res.com/articles/meps_oa/m552p115.pdf,AC Cleary; EG Durbin; M. Casas; Meng Zhou,Euphausia; Krill; Antarctic krill; Oceanography; Peninsula; Shore,Physiological and biochemical adaptations; Fish Ecology and Management Studies; Marine and fisheries research,Ecology; Nature and Landscape Conservation; Global and Planetary Change,https://www.int-res.com/articles/meps_oa/m552p115.pdf,37,18
Linking Antarctic krill larval supply and recruitment along the Antarctic Peninsula,"Antarctic krill (Euphausia superba) larval production and overwinter survival drive recruitment variability, which in turn determines abundance trends. The Antarctic Peninsula has been described as a recruitment hot spot and as a potentially important source region for larval and juvenile krill dispersal. However, there has been no analysis to spatially resolve regional-scale krill population dynamics across life stages. We assessed spatiotemporal patterns in krill demography using two decades of austral summer data collected along the North and West Antarctic Peninsula since 1993. We identified persistent spatial segregation in the summer distribution of euphausiid larvae (E. superba plus other species), which were concentrated in oceanic waters along the continental slope, and E. superba recruits, which were concentrated in shelf and coastal waters. Mature females of E. superba were more abundant over the continental shelf than the slope or coast. Euphausiid larval abundance was relatively localized and weakly correlated between the North and West Antarctic Peninsula, while E. superba recruitment was generally synchronized throughout the entire region. Euphausiid larval abundance along the West Antarctic Peninsula slope explained E. superba recruitment in shelf and coastal waters the next year. Given the localized nature of krill productivity, it is critical to evaluate the connectivity between upstream and downstream areas of the Antarctic Peninsula and beyond. Krill fishery catch distributions and population projections in the context of a changing climate should account for ontogenetic habitat partitioning, regional population connectivity, and highly variable recruitment.",2020,https://doi.org/10.1093/icb/icaa111,article,https://academic.oup.com/icb/article-pdf/60/6/1386/34926802/icaa111.pdf,John A. Conroy; Christian S. Reiss; Miram R. Gleiber; Deborah K. Steinberg,Euphausia; Antarctic krill; Krill; Peninsula; Population; Continental shelf; Oceanography; Euphausiacea; Biology,Marine and fisheries research; Fish Ecology and Management Studies; Coral and Marine Ecosystems Studies,Global and Planetary Change; Nature and Landscape Conservation; Ecology,https://academic.oup.com/icb/article-pdf/60/6/1386/34926802/icaa111.pdf,25,19
Relationships between Antarctic krill (<i>Euphausia superba</i>) variability and westerly fluctuations and ozone depletion in the Antarctic Peninsula area,"An assessment of the environmental processes influencing variability in the recruitment and density of Antarctic krill ( Euphausia superba ) is important, as variability in krill stocks affects the Antarctic marine ecosystem as a whole. We have assessed variability in krill recruitment and density with hypothesized environmental factors, including strength of westerly winds (westerlies) determined from sea level pressure differences across the Drake Passage, sea ice cover, and ozone depletion. We found a significant positive correlation between krill recruitment in the Antarctic Peninsula area and the strength of westerlies during 1982–1998. Years with strong westerlies during the austral summer season resulted in high krill recruitment in 1987/1988, 1990/1991, and 1994/1995, while the years of weak westerlies resulted in low krill recruitment in 1982/1983, 1988/1989, 1992/1993, and 1996/1997. The strength of westerlies was significantly related to recruitment of 1‐year‐old krill ( r = 0.57) and 2‐year‐old krill ( r = 0.69) with a level of significance of 5%. In addition, the strength of westerlies also had a strong correlation with chlorophyll a ( r = 0.63) and sea ice cover with a 1‐year time lag ( r = 0.67). The strength of westerlies is considered to be a key environmental factor. We also found significant correlations between krill density in the Antarctic Peninsula area and the Antarctic ozone depletion parameters during 1977–1997 (e.g., total ozone in October at Faraday/Vernadsky Station of r = 0.76 with a level of significance of 1%). We suspect that ozone depletion impacts directly and/or indirectly on the variability in krill density.",1999,https://doi.org/10.1029/1999jc900136,article,NA,Mikio Naganobu; Kunio Kutsuwada; Yoshikazu Sasai; Satoru Taguchi; Volker Siegel,Westerlies; Krill; Euphausia; Antarctic krill; Oceanography; Environmental science,Ocean Acidification Effects and Responses; Atmospheric Ozone and Climate; Atmospheric chemistry and aerosols,Oceanography; Atmospheric Science; Atmospheric Science,NA,38,20
Spatial and temporal variability of SeaWiFS chlorophyll a distributions west of the Antarctic Peninsula: Implications for krill production,NA,2007,https://doi.org/10.1016/j.dsr2.2007.11.011,article,NA,Marina Marrari; Kendra L. Daly; Chuanmin Hu,Krill; Oceanography; Euphausia; Antarctic krill; Upwelling; Bay; Phytoplankton; Sea ice; Spring bloom; SeaWiFS; Chlorophyll a,Marine and fisheries research; Marine Bivalve and Aquaculture Studies; Oceanographic and Atmospheric Processes,Global and Planetary Change; Global and Planetary Change; Oceanography,NA,80,21
Demography of krill in the Elephant Island area during summer 2001 and its significance for stock recruitment,"A net sampling survey was carried out for krill in a standard station grid around Elephant Island during 27 January to 4 February 2001. In comparison with recent years the station grid was extended south, where a large proportion of small size classes, one-year-old juvenile krill was found. Results show a spatial separation of the juvenile krill and the spawning stock, Krill density was significantly higher than during the past years (229 krill 1000 m −3 or 13.0 g m −2 ). The proportional recruitment index for the entire survey area for the 1999/2000 year class was R 1 = 0.573, which is among the highest values recorded during the past 20 years. The maturation index (based on the proportion of gravid stages) was G = 0.99, indicating an early initiation of the spawning season. The results indicate a turning point after a succession of years with poor recruitment success and low stock biomass. This is thought to be the first step for a successful spawning event and a later potential recruitment success of the 2000/01 year-class. The spatial extent of the station grid is discussed in the light of a representative coverage of the stock and the estimated recruitment index.",2002,https://doi.org/10.1017/s095410200200072x,article,NA,Volker Siegel; Bo Bergström; Ute Mühlenhardt-Siegel; MA Thomasson,Krill; Antarctic krill; Stock (firearms); Juvenile; Fishery,Marine and fisheries research; Fish Biology and Ecology Studies; Fish Ecology and Management Studies,Global and Planetary Change; Aquatic Science; Nature and Landscape Conservation,NA,48,22
Variation in the biomass density and demography of Antarctic krill in the vicinity of the South Shetland Islands during the 1999/2000 austral summer,NA,2004,https://doi.org/10.1016/j.dsr2.2004.06.018,article,NA,R HEWITT; S. Kim; Mikio Naganobu; Mariano Gutiérrez; Dayun Kang; Yoshitake Takao; Javier Quiñónes; Y.-H. Lee; Hyoung Chul Shin; So Kawaguchi; Jennifer Emery; David A. Demer; Valerie J. Loeb,Shetland; Krill; Biomass (ecology); Oceanography; Geography; Euphausia; Antarctic krill,Marine and fisheries research; Marine Bivalve and Aquaculture Studies; Fish Ecology and Management Studies,Global and Planetary Change; Global and Planetary Change; Nature and Landscape Conservation,NA,16,23
"Summer distribution and demography of Antarctic krill <i>Euphausia superba</i> Dana, 1850 (Euphausiacea) at the South Orkney Islands, 2011–2015","We carried out a survey of Antarctic krill (Euphausia superba Dana, 1850) from 2011 to 2015 to establish a long-term, time-series dataset of distribution, abundance, and demography for this species in the South Orkney Islands sector of the Southern Ocean. This species is abundant in this region and is subjected to high-intensity fishing, but previous assessments of density and population dynamics are few and outdated. Our data for Antarctic krill was collected from trawl stations along survey line transects covering the South Orkney plateau and shelf region during the summers of five consecutive years. We used concurrent data on hydrography, bathymetry, and proxies for algal biomass to describe potential spatial patterns of demography and abundance of E. superba. Comparative analysis of the demographic composition showed that 2012 differed from the other years by having a higher proportion of juveniles; otherwise a consistent pattern was found among years and within the study area. The highest biomass during the study period occurred along the northern shelf edge of the South Orkney Islands. Results of the linear mixed-effect model used to evaluate a diverse range of variables revealed that the only predictors for this hotspot were the short distance from land and great bottom depth. No clear differences in demographic composition for the study area were detected, which indicates that the area is highly dynamic and dominated by flux and advection of krill, both to, from, and within the area. Despite this finding, the results demonstrate that the shelf break on the northwest South Orkney Islands is predictable over time as a krill concentration and retention hotspot during the summer season",2018,https://doi.org/10.1093/jcbiol/ruy061,article,https://academic.oup.com/jcb/article-pdf/38/6/682/28002641/ruy061.pdf,Bjørn A. Krafft; Ludvig Ahm Krag; Tor Knutsen; Georg Skaret; Knut Helge Jensen; Jens O Krakstad; Stuart Larsen; Webjørn Melle; Svein A. Iversen; Olav Rune Godø,Euphausiacea; Euphausia; Antarctic krill; Biology; Krill,Marine and fisheries research; Fish Ecology and Management Studies; Physiological and biochemical adaptations,Global and Planetary Change; Nature and Landscape Conservation; Ecology,https://academic.oup.com/jcb/article-pdf/38/6/682/28002641/ruy061.pdf,27,24
Competition between the krill fishery and penguins in the South Shetland Islands,NA,1996,https://doi.org/10.1007/bf02388736,article,NA,Taro Ichii; Mikio Naganobu; Takashi Ogishima,Krill; Euphausia; Shetland; Fishery; Foraging; Trawling; Pygoscelis; Antarctic krill; Biology; Competition (biology); Fishing,Marine and fisheries research; Coral and Marine Ecosystems Studies; Coastal and Marine Management,"Global and Planetary Change; Ecology; Management, Monitoring, Policy and Law",NA,22,25
