title,abstract,publication_year,doi,type,oa_url,author,topic,subfield,pdf_url,cited_by_count,id
Seasonality of blue and fin whale calls and the influence of sea ice in the Western Antarctic Peninsula,NA,2004,https://doi.org/10.1016/j.dsr2.2004.08.005,article,NA,Ana Širović; John A. Hildebrand; Sean M. Wiggins; Mark A. McDonald; Sue E. Moore; Deborah Thiele,Marine animal studies overview; Arctic and Antarctic ice dynamics; Underwater Acoustics Research,Ecology; Atmospheric Science; Oceanography,NA,230,1
Horizontal niche partitioning of humpback and fin whales around the West Antarctic Peninsula: evidence from a concurrent whale and krill survey,NA,2016,https://doi.org/10.1007/s00300-016-1927-9,article,https://link.springer.com/content/pdf/10.1007/s00300-016-1927-9.pdf,Helena Herr; Sacha Viquerat; Volker Siegel; Karl‐Hermann Kock; Boris Dorschel; Wilma G. C. Huneke; Astrid Bracher; Michael Schröder; Julian Gutt,Marine animal studies overview; Arctic and Antarctic ice dynamics; Avian ecology and behavior,Ecology; Atmospheric Science; Ecology,https://link.springer.com/content/pdf/10.1007/s00300-016-1927-9.pdf,77,2
Mid-summer abundance estimates of fin whales Balaenoptera physalus around the South Orkney Islands and Elephant Island,"A line-transect distance sampling survey for fin whales Balaenoptera physalus was conducted around Elephant Island and the South Orkney Islands on board a CCAMLR fishing survey for fin fish in January and February 2016. Collected data were used for model-based abundance estimates of fin whales in 2 strata. The minimum average (± SE) density of fin whales was estimated at 0.0268 ± 0.0183 ind. km-2 in a 19750 km2 area around Elephant Island, resulting in a minimum abundance estimate of 528 ± 362 fin whales. In a 13550 km2 area around the South Orkney Islands, we estimated a minimum density of 0.0588 ± 0.0381 ind. km-2 and a minimum abundance of 796 ± 516 ind. The results of this study confirm a westerly extension of a recently described high-density area for fin whales in the West Antarctic Peninsula region. In the light of increasing krill fisheries in the local region, we suggest this area for further studies to assess the potential for conflict between recovering whale populations and emerging industrial interests.",2017,https://doi.org/10.3354/esr00832,article,https://www.int-res.com/articles/esr2017/32/n032p515.pdf,Sacha Viquerat; Helena Herr,Arctic and Antarctic ice dynamics; Marine animal studies overview; Winter Sports Injuries and Performance,Atmospheric Science; Ecology; Pulmonary and Respiratory Medicine,https://www.int-res.com/articles/esr2017/32/n032p515.pdf,33,3
Movements of satellite-monitored humpback whales on their feeding ground along the Antarctic Peninsula,NA,2008,https://doi.org/10.1007/s00300-008-0415-2,article,NA,Luciano Dalla Rosa; Eduardo R. Secchi; Y. G. Maia; Alexandre N. Zerbini; Mads Peter Heide‐Jørgensen,Marine animal studies overview; Arctic and Antarctic ice dynamics; Underwater Acoustics Research,Ecology; Atmospheric Science; Oceanography,NA,100,4
Seasonality of Antarctic minke whale (<i>Balaenoptera bonaerensis)</i> calls off the western Antarctic Peninsula,"Abstract The Antarctic minke whale ( Balaenoptera bonaerensis) is a difficult species to study because of its low visual detectability and preference for living within the sea ice habitat, accessible only by ice‐strengthened vessels. Recent identification of the Antarctic minke whale as the source of the seasonally ubiquitous bio‐duck call has allowed the use of this sound, as well as downsweeps, to investigate seasonality trends and diel patterns in Antarctic minke whale call production, and their relationship to sea ice cover. Passive acoustic data were collected using an autonomous Acoustic Recording Package (ARP) off the western Antarctic Peninsula. Bio‐duck calls were classified into four distinct call variants, with one variant having two subtypes. Bio‐duck calls were detected between April and November, with increasing call duration during the austral winter, indicating a strong seasonality in call production. Downsweeps, which were also attributed to Antarctic minke whales, were present throughout most months during the recording period, with a peak in July, and an absence in March and April. Both bio‐duck and downsweeps were significantly correlated with sea ice cover. No diel patterns were observed in bio‐duck calls or in downsweep call production at this site.",2016,https://doi.org/10.1111/mms.12302,article,NA,Talia Dominello; Ana Širović,Marine animal studies overview; Arctic and Antarctic ice dynamics; Underwater Acoustics Research,Ecology; Atmospheric Science; Oceanography,NA,43,5
Whale distribution in relation to prey abundance and oceanographic processes in shelf waters of the Western Antarctic Peninsula,"Author Posting. © Inter-Research, 2006. This article is posted here by permission of Inter-Research for personal use, not for redistribution. The definitive version was published in Marine Ecology Progress Series 317 (2006): 297-310, doi:10.3354/meps317297.",2006,https://doi.org/10.3354/meps317297,article,https://www.int-res.com/articles/meps2006/317/m317p297.pdf,AS Friedlaender; PN Halpin; Song S. Qian; GL Lawson; Peter H. Wiebe; Deborah Thiele; AJ Read,Marine animal studies overview; Marine and fisheries research; Arctic and Antarctic ice dynamics,Ecology; Global and Planetary Change; Atmospheric Science,https://www.int-res.com/articles/meps2006/317/m317p297.pdf,231,6
Return movement of a humpback whale between the Antarctic Peninsula and American Samoa: a seasonal migration record,"Humpback whales Megaptera novaeangliae are seasonal migrants that mate and calve at low latitudes and feed at mid- to high latitudes. Connections between most Southern Hemisphere breeding and feeding areas are not well understood, but are critical for assessing stock structure and human impacts. Photo-identification was performed to identify the feeding grounds of an Endangered sub-population that breeds in the central South Pacific Ocean (CSP). Identification photographs were obtained from 159 ind. at American Samoa and compared to 3508 Southern Hemisphere humpback whales in the Antarctic Humpback Whale Catalogue (AHWC), including 1352 from Antarctic feeding grounds. Two individuals from American Samoa were seen on 3 occasions at the Antarctic Peninsula. This is the first known feeding site for American Samoa and one of few reliably identified for the CSP. AHWC #2950 was confirmed to have undertaken a round-trip movement of no less than 18 840 km, spanning 108 longitudinal degrees. This represents the largest mammalian migration known to date and a departure from historical assumptions about CSP migratory patterns. The frequency, causes, and fitness implications of such movements have yet to be determined. However, distance is the only known extrinsic barrier to humpback whale movement within oceans, and so maximum individual range is 1 factor potentially affecting population exchange and colonization of new habitats. The movement documented here may place this Endangered sub-population at risk if conservation efforts are relaxed in unidentified parts of its range. Yet, the ability of humpback whales to undertake such extensive movements may have also contributed to the apparent recovery of some populations versus other historically exploited whale species.",2010,https://doi.org/10.3354/esr00328,article,https://www.int-res.com/articles/esr_oa/n013p117.pdf,Jooke Robbins; Luciano Dalla Rosa; J. Allen; DK Mattila; Eduardo R. Secchi; AS Friedlaender; PT Stevick; DP Nowacek; D. Gentry Steele,Marine animal studies overview; Underwater Acoustics Research; Animal Vocal Communication and Behavior,Ecology; Oceanography; Developmental Biology,https://www.int-res.com/articles/esr_oa/n013p117.pdf,90,7
"Population abundance of recovering humpback whales Megaptera novaeangliae and other baleen whales in the Scotia Arc, South Atlantic","Following the cessation of whaling, South Atlantic populations of humpback Megaptera novaeangliae and some other baleen whale species are recovering, but there has been limited monitoring of their recovery in the Scotia Arc, a former whaling epicentre and a hotspot for Antarctic krill Euphausia superba . To inform the management of krill fisheries, up-to-date assessment of whale biomass and prey consumption is essential. Using a model-based approach, we provide the first estimates of whale abundance and krill consumption for South Georgia and the South Sandwich Islands and total abundance of humpback whales across their southwestern Atlantic feeding grounds, using data collected in 2019. Humpback whale abundance was estimated at 24543 (coefficient of variation, CV = 0.26; 95% CI = 14863-40528), similar to that measured in Brazil on the main wintering ground for this population. The abundance of baleen whales in South Georgia and the South Sandwich Islands, including those not identified to species level, was estimated at 43824 (CV = 0.15, 95% CI = 33509-59077). Based on the proportion of humpback whales identified during the surveys (83%), the majority of these are likely to be humpback whales. Annual krill consumption by baleen whales was estimated to be in the range 4.8 to 7.2 million tons, representing 7 to 10% of the estimated krill biomass in the region. However, there is a need to better understand feeding rates in baleen whales, and further research into this field should be a priority to improve the accuracy and precision of prey consumption rate estimation.",2021,https://doi.org/10.3354/meps13849,article,http://nora.nerc.ac.uk/id/eprint/530411/1/Scotia%20Arc%20whale%20abundance%20accepted.pdf,Mick Baines; Natalie Kelly; Maren Reichelt; Claire Lacey; Shane D. Pinder; Sophie Fielding; Eugene J. Murphy; PN Trathan; Martin Biuw; Ulf Lindstrøm; BA Krafft; Jennifer A. Jackson,Marine animal studies overview; Marine and fisheries research; Arctic and Antarctic ice dynamics,Ecology; Global and Planetary Change; Atmospheric Science,NA,34,8
Seasonal variability in whale encounters in the Western Antarctic Peninsula,NA,2004,https://doi.org/10.1016/j.dsr2.2004.07.007,article,NA,Deborah Thiele; Edwin T. Chester; Sue E. Moore; Ana Širović; John A. Hildebrand; Ari S. Friedlaender,Marine animal studies overview; Arctic and Antarctic ice dynamics; Marine and fisheries research,Ecology; Atmospheric Science; Global and Planetary Change,NA,90,9
Initial density estimates of humpback whales Megaptera novaeangliae in the inshore waters of the western Antarctic Peninsula during the late autumn,"ESR Endangered Species Research Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsSpecials ESR 18:63-71 (2012) - DOI: https://doi.org/10.3354/esr00395 Initial density estimates of humpback whales Megaptera novaeangliae in the inshore waters of the western Antarctic Peninsula during the late autumn D. W. Johnston1,*, A. S. Friedlaender1, A. J. Read1, D. P. Nowacek1,2 1Division of Marine Science and Conservation, Nicholas School of the Environment, Duke University Marine Laboratory, 135 Duke Marine Lab Rd., Beaufort, North Carolina 28516, USA 2Pratt School of Engineering, Duke University, Durham, North Carolina 27708, USA *Email: david.johnston@duke.edu ABSTRACT: In the Southern Ocean, humpback whales Megaptera novaeangliae were depleted by commercial whaling operations during the 20th century, but many populations now appear to be recovering. Previous surveys of whale distribution along the western Antarctic Peninsula (WAP) suggested that humpbacks feed on krill swarms over the continental shelf during the summer, but little is known about their movements and densities during autumn, when krill begin to seek inshore refugia for overwintering. Here we present estimates of humpback whale densities in some inshore regions of the WAP during the late autumn. We surveyed 653.9 km of track line in the Gerlache Strait and adjacent bays during 26 April to 1 June 2009. We detected 371 groups of humpback whales in a distance sampling framework that allowed us to calculate estimates of whale density along track lines in open and enclosed habitats within our study area. Density estimates along track lines ranged from 0.02 to 1.75 whales km−2; the highest densities were found along track lines in the enclosed regions of Wilhelmina Bay, the Errera Channel, and Andvord Bay. These results provide preliminary insight into the density and distribution of WAP humpbacks and indicate that large numbers of whales remain in Antarctic feeding grounds late into autumn. This study also provides details on the difficulties in estimating density of whales in the inshore regions of the WAP using traditional line transect/distance sampling methods, and provides direction for future studies including the use of model-based approaches to estimating whale densities in this region. KEY WORDS: Humpback whale · Western Antarctic Peninsula · Density · Line transect Full text in pdf format PreviousNextCite this article as: Johnston DW, Friedlaender AS, Read AJ, Nowacek DP (2012) Initial density estimates of humpback whales Megaptera novaeangliae in the inshore waters of the western Antarctic Peninsula during the late autumn. Endang Species Res 18:63-71. https://doi.org/10.3354/esr00395 Export citation Mail this link - Contents Mailing Lists - RSS Facebook - Tweet - linkedIn Cited by Published in ESR Vol. 18, No. 1. Online publication date: July 30, 2012 Print ISSN: 1863-5407; Online ISSN: 1613-4796 Copyright © 2012 Inter-Research.",2011,https://doi.org/10.3354/esr00395,article,https://www.int-res.com/articles/esr_oa/n018p063.pdf,David W. Johnston; AS Friedlaender; AJ Read; DP Nowacek,Marine animal studies overview; Arctic and Antarctic ice dynamics; Underwater Acoustics Research,Ecology; Atmospheric Science; Oceanography,https://www.int-res.com/articles/esr_oa/n018p063.pdf,28,10
